,Country,user_id
0,United States,2964174789
450,United States,2955485182
714,United States,2891210047
1022,United States,2856787757
2298,United States,1480852568
2308,United States,1249982359
2536,United States,1096059529
3138,United States,1099199839
4173,United States,1074518754
5368,United States,1074480192
7374,United States,1071402577
7834,United States,1068481578
8228,United States,1058520120
9086,United States,970207298
10352,United States,968650362
11190,United States,946549322
12309,United States,600463589
13023,United States,515822213
13474,United States,486694111
13757,United States,476256944
14874,United States,432895323
15766,United States,382791093
16080,United States,296361085
16591,United States,293131808
18082,United States,291756142
18085,United States,278124059
19393,United States,264219447
20420,United States,250188760
21291,United States,249787913
22122,United States,247334603
23792,United States,242836537
24410,United States,242555999
25839,United States,236511574
26632,United States,234128524
27371,United States,234374703
27639,United States,233737858
28421,United States,225921757
29211,United States,224285242
30077,United States,217543151
30771,United States,216881337
31524,United States,202206694
32391,United States,193794406
33308,United States,172858784
33692,United States,171598736
34834,United States,150078976
36568,United States,117501995
36906,United States,109287731
38578,United States,109071031
39160,United States,92186819
39692,United States,88784440
40186,United States,78403308
40192,United States,76649729
40203,United States,76456274
41012,United States,75364211
41014,United States,72198806
41546,United States,60828944
41549,United States,55677432
41609,United States,43910797
42260,United States,33537967
43198,United States,30354991
43590,United States,29442313
44132,United States,29201047
45706,United States,21406834
46982,United States,21269970
47891,United States,21111098
48127,United States,19726613
48358,United States,18915145
50028,United States,18695134
51691,United States,18632666
52047,United States,18137749
52599,United States,18061669
53602,United States,17494010
55636,United States,15808765
55993,United States,15745368
56832,United States,15324851
57609,United States,13218102
62450,United States,11651202
63115,United States,10615232
63761,United States,7429102
65560,United States,5558312
66329,United States,234797704
66442,United States,82453460
66998,United States,516880804
68076,United States,74508260
70221,United States,161791703
70933,United States,15394954
71353,United States,30216513
71860,United States,305620929
72362,United States,17976923
72746,United States,14984637
73550,United States,188019606
74640,United States,25086658
74683,United States,76132891
74869,United States,299883942
75150,United States,2975091705
76010,United States,814179031956488192
78116,United States,1089859058
78974,United States,235312723
79227,United States,3122099613
80039,United States,38254095
80408,United States,815952318487298048
80661,United States,23600262
81985,United States,31801993
83465,United States,78445977
84406,United States,432676344
84702,United States,19739126
87085,United States,161411080
87431,United States,242926427
87628,United States,2963445730
87653,United States,80612021
88520,United States,31611298
89076,United States,24195214
89618,United States,18805303
90050,United States,18166778
91518,United States,18909919
92384,United States,231510077
94693,United States,18030431
95280,United States,1243902714
96241,United States,22545491
96344,United States,838462994
96460,United States,584912320
96783,United States,15874918
96872,United States,37094727
97376,United States,402719755
97411,United States,278145569
99460,United States,15751083
100431,United States,935368364
100612,United States,15764644
101528,United States,236279233
103118,United States,164369297
103970,United States,27676828
104180,United States,1410590874
104435,United States,24735461
105242,United States,234469322
106275,United States,2916086925
107651,United States,29501253
107918,United States,58928690
108624,United States,296245061
108842,United States,2964526557
109212,United States,156333623
109503,United States,818472418620608512
109837,United States,3026622545
109929,United States,199325935
110393,United States,1089334250
110943,United States,816652616625168388
113424,United States,960962340
113581,United States,249348006
113903,United States,1058717720
114698,United States,1051446626
